Feature,Avg_Correlation,Max_Correlation,Std_Correlation,Times_Used
wt_6m_zscore,0.9357892982864365,1.0,0.10152603378626858,7
wt_12m_zscore,0.9234958562545711,0.9999999999999998,0.1081931976625261,3
BMI_6m_zscore,0.737000745789338,0.8095989124869918,0.11478778035858528,7
ht_6m_zscore,0.5874649229894385,0.5890311273949309,0.0024763866013729464,7
ht_1y_zscore,0.4680650385229906,0.5017789617396086,0.04767868745374636,3
ht_birth_zscore,0.3044392322903848,0.3176862625260992,0.020945393888987432,7
wt_birth_zscore,0.2347946562938811,0.2455124938786188,0.016946389179764553,7
BMI_birth_zscore,0.0737991543034032,0.07775616482951765,0.006256582993891436,7
BMI_12m_zscore,0.015640155781298872,0.017953727481194413,0.003271884475514849,3
