Feature,Avg_Correlation,Max_Correlation,Min_Correlation,Usage_Count
height_birth_cm,0.5207559686995834,0.9950112087667013,0.2450335530277545,6
weight_birth_g,0.4997904688205456,0.6528332836260146,0.3465369366987124,6
height_6m_cm,0.24219898905435358,0.3754618597075844,0.08498715965218656,6
headcirc_birth_cm,0.17608967423892488,0.23699244132750946,0.07137379310479525,6
delivery_type,0.1221806311304582,0.16386441547931319,0.057058987550153775,6
headcirc_1y_cm,0.09899060784356307,0.1268904385162138,0.051029091297549435,6
gender,0.06771969279600694,0.08560765723271051,0.041664094616518016,6
weight_6m_g,0.057455529503891344,0.08373212378599787,0.023207702390950404,6
mother_hypertension,0.04011139224966436,0.058005471024015945,0.01542056640241564,6
mother_age_pregnancy,0.03971281106919894,0.05711208402035186,0.018240840726313746,6
headcirc_15d_cm,0.03152762626376441,0.03936518444318137,0.019419080294531432,6
mother_underweight,0.011911293693866364,0.02540323852710957,0.0013760298271410154,6
